arm,node,role,attack_start_s,t_s,trust
baseline,srv1,grayhole,40,0.042,0.500000
baseline,srv1,grayhole,40,1.077,0.500000
baseline,srv1,grayhole,40,2.113,0.500000
baseline,srv1,grayhole,40,3.146,0.500000
baseline,srv1,grayhole,40,5.064,0.538600
baseline,srv1,grayhole,40,6.304,0.538600
baseline,srv1,grayhole,40,7.542,0.815200
baseline,srv1,grayhole,40,8.781,0.815200
baseline,srv1,grayhole,40,10.020,0.813500
baseline,srv1,grayhole,40,11.285,0.820400
baseline,srv1,grayhole,40,12.525,0.812800
baseline,srv1,grayhole,40,13.765,0.815200
baseline,srv1,grayhole,40,15.047,0.815200
baseline,srv1,grayhole,40,16.309,0.814800
baseline,srv1,grayhole,40,17.546,0.821600
baseline,srv1,grayhole,40,18.786,0.815700
baseline,srv1,grayhole,40,20.024,0.816800
baseline,srv1,grayhole,40,21.298,0.816800
baseline,srv1,grayhole,40,22.537,0.817100
baseline,srv1,grayhole,40,23.798,0.821500
baseline,srv1,grayhole,40,25.187,0.803200
baseline,srv1,grayhole,40,26.458,0.812000
baseline,srv1,grayhole,40,27.825,0.812000
baseline,srv1,grayhole,40,29.148,0.816200
baseline,srv1,grayhole,40,30.477,0.817500
baseline,srv1,grayhole,40,31.778,0.817100
baseline,srv1,grayhole,40,33.258,0.816300
baseline,srv1,grayhole,40,34.553,0.822900
baseline,srv1,grayhole,40,35.959,0.816800
baseline,srv1,grayhole,40,37.408,0.816200
baseline,srv1,grayhole,40,38.745,0.822300
baseline,srv1,grayhole,40,40.130,0.816400
baseline,srv1,grayhole,40,41.633,0.816700
baseline,srv1,grayhole,40,42.925,0.822900
baseline,srv1,grayhole,40,44.391,0.816100
baseline,srv1,grayhole,40,45.694,0.816900
baseline,srv1,grayhole,40,47.100,0.816900
baseline,srv1,grayhole,40,48.447,0.821000
baseline,srv1,grayhole,40,49.836,0.413200
baseline,srv1,grayhole,40,51.353,0.813900
baseline,srv1,grayhole,40,52.737,0.423600
baseline,srv1,grayhole,40,54.179,0.762700
baseline,srv1,grayhole,40,56.010,0.754000
baseline,srv1,grayhole,40,58.013,0.265600
baseline,srv1,grayhole,40,59.610,0.615000
baseline,srv1,grayhole,40,61.132,0.266400
baseline,srv1,grayhole,40,62.498,0.214100
baseline,srv1,grayhole,40,64.046,0.264400
baseline,srv1,grayhole,40,65.558,0.213600
baseline,srv1,grayhole,40,67.127,0.264000
baseline,srv1,grayhole,40,68.560,0.264000
baseline,srv1,grayhole,40,70.204,0.214000
baseline,srv1,grayhole,40,71.929,0.611300
baseline,srv1,grayhole,40,73.319,0.673600
baseline,srv1,grayhole,40,74.703,0.667700
baseline,srv1,grayhole,40,76.509,0.809600
