arm,node,role,attack_start_s,t_s,requests,requests_per_s
baseline,srv1,grayhole,40,0,15,1.5000
baseline,srv1,grayhole,40,10,25,2.5000
baseline,srv1,grayhole,40,20,21,2.1000
baseline,srv1,grayhole,40,30,24,2.4000
baseline,srv1,grayhole,40,40,18,1.8000
baseline,srv1,grayhole,40,50,14,1.4000
baseline,srv1,grayhole,40,60,9,0.9000
baseline,srv1,grayhole,40,70,16,1.6000
baseline,srv1,grayhole,40,80,10,1.0000
baseline,srv1,grayhole,40,90,13,1.3000
baseline,srv1,grayhole,40,100,9,0.9000
baseline,srv1,grayhole,40,110,11,1.1000
baseline,srv1,grayhole,40,120,13,1.3000
baseline,srv1,grayhole,40,130,15,1.5000
baseline,srv1,grayhole,40,140,11,1.1000
baseline,srv1,grayhole,40,150,13,1.3000
baseline,srv1,grayhole,40,160,13,1.3000
baseline,srv1,grayhole,40,170,10,1.0000
baseline,srv1,grayhole,40,180,11,1.1000
baseline,srv1,grayhole,40,190,13,1.3000
baseline,srv1,grayhole,40,200,9,0.9000
baseline,srv1,grayhole,40,210,14,1.4000
baseline,srv1,grayhole,40,220,12,1.2000
baseline,srv1,grayhole,40,230,15,1.5000
baseline,srv1,grayhole,40,240,10,1.0000
baseline,srv1,grayhole,40,250,15,1.5000
baseline,srv1,grayhole,40,260,14,1.4000
baseline,srv1,grayhole,40,270,16,1.6000
baseline,srv1,grayhole,40,280,10,1.0000
baseline,srv1,grayhole,40,290,13,1.3000
baseline,srv1,grayhole,40,300,6,0.6000
baseline,srv2,none,0,0,15,1.5000
baseline,srv2,none,0,10,25,2.5000
baseline,srv2,none,0,20,23,2.3000
baseline,srv2,none,0,30,23,2.3000
baseline,srv2,none,0,40,24,2.4000
baseline,srv2,none,0,50,24,2.4000
baseline,srv2,none,0,60,24,2.4000
baseline,srv2,none,0,70,25,2.5000
baseline,srv2,none,0,80,24,2.4000
baseline,srv2,none,0,90,22,2.2000
baseline,srv2,none,0,100,25,2.5000
baseline,srv2,none,0,110,24,2.4000
baseline,srv2,none,0,120,24,2.4000
baseline,srv2,none,0,130,23,2.3000
baseline,srv2,none,0,140,24,2.4000
baseline,srv2,none,0,150,25,2.5000
baseline,srv2,none,0,160,23,2.3000
baseline,srv2,none,0,170,25,2.5000
baseline,srv2,none,0,180,23,2.3000
baseline,srv2,none,0,190,24,2.4000
baseline,srv2,none,0,200,23,2.3000
baseline,srv2,none,0,210,25,2.5000
baseline,srv2,none,0,220,23,2.3000
baseline,srv2,none,0,230,26,2.6000
baseline,srv2,none,0,240,23,2.3000
baseline,srv2,none,0,250,24,2.4000
baseline,srv2,none,0,260,24,2.4000
baseline,srv2,none,0,270,24,2.4000
baseline,srv2,none,0,280,25,2.5000
baseline,srv2,none,0,290,24,2.4000
baseline,srv2,none,0,300,13,1.3000
baseline,srv3,sybil,20,0,15,1.5000
baseline,srv3,sybil,20,10,25,2.5000
baseline,srv3,sybil,20,20,21,2.1000
baseline,srv3,sybil,20,30,23,2.3000
baseline,srv3,sybil,20,40,22,2.2000
baseline,srv3,sybil,20,50,21,2.1000
baseline,srv3,sybil,20,60,23,2.3000
baseline,srv3,sybil,20,70,21,2.1000
baseline,srv3,sybil,20,80,20,2.0000
baseline,srv3,sybil,20,90,23,2.3000
baseline,srv3,sybil,20,100,21,2.1000
baseline,srv3,sybil,20,110,22,2.2000
baseline,srv3,sybil,20,120,23,2.3000
baseline,srv3,sybil,20,130,20,2.0000
baseline,srv3,sybil,20,140,22,2.2000
baseline,srv3,sybil,20,150,22,2.2000
baseline,srv3,sybil,20,160,20,2.0000
baseline,srv3,sybil,20,170,21,2.1000
baseline,srv3,sybil,20,180,23,2.3000
baseline,srv3,sybil,20,190,22,2.2000
baseline,srv3,sybil,20,200,23,2.3000
baseline,srv3,sybil,20,210,20,2.0000
baseline,srv3,sybil,20,220,23,2.3000
baseline,srv3,sybil,20,230,22,2.2000
baseline,srv3,sybil,20,240,22,2.2000
baseline,srv3,sybil,20,250,21,2.1000
baseline,srv3,sybil,20,260,22,2.2000
baseline,srv3,sybil,20,270,22,2.2000
baseline,srv3,sybil,20,280,22,2.2000
baseline,srv3,sybil,20,290,22,2.2000
baseline,srv3,sybil,20,300,13,1.3000
baseline,srv4,none,0,0,15,1.5000
baseline,srv4,none,0,10,25,2.5000
baseline,srv4,none,0,20,23,2.3000
baseline,srv4,none,0,30,24,2.4000
baseline,srv4,none,0,40,23,2.3000
baseline,srv4,none,0,50,24,2.4000
baseline,srv4,none,0,60,24,2.4000
baseline,srv4,none,0,70,25,2.5000
baseline,srv4,none,0,80,27,2.7000
baseline,srv4,none,0,90,24,2.4000
